movieId,title,genres
200000,Kingdom of the Rising Legacy,Fantasy|Children
200001,Crimson Dimension,Adventure
200002,Shadow of the Silver Heart,Adventure
200003,Mountain of the Shattered Kingdom,Western|Crime
200004,Eternal Light,Musical|Animation|Sci-Fi
200005,Kingdom of the Forgotten Star,Romance|Drama
200006,Infinite Protocol,Western|Adventure|Comedy
200007,First Warrior,Horror
200008,Golden Heart,Action|Adventure
200009,The Crimson Protocol,Crime
200010,Crimson Storm,Film-Noir|Western|Thriller
200011,Frozen Destiny,Mystery|Animation
200012,Heart of the Golden Revenge,Sci-Fi
200013,Thunder of the Silver Kingdom,Action
200014,The Savage Memory,Animation|Musical
200015,Frozen Memory,Romance|Children
200016,The Crimson Justice,Action|Film-Noir|War
200017,Sky of the Legendary Dream,Musical
200018,Dimension of the Rising Dream,Mystery
200019,The Mystic Destiny,Action
200020,Shadow of the Final Titan,Children|Fantasy
200021,The Azure Code,Action
200022,The First Empire,Film-Noir|Drama
200023,Iron Guardian,Comedy|Animation
200024,Mystic Force,Animation|War
200025,The Infinite Kingdom,Crime|Thriller
200026,The Final Heart,Western|Animation
200027,The Brave Empire,Drama|Thriller|Romance
200028,Falling Mountain,Romance|Drama
200029,Sky of the Golden Sky,Drama|War|Thriller
200030,Code of the Falling Guardian,Film-Noir|Sci-Fi
200031,Force of the Frozen Mountain,Crime|Western
200032,The Legendary Ocean,Sci-Fi
200033,Forgotten Algorithm,Adventure|Drama|Western
200034,Secret Legacy,Crime|Mystery|Western
200035,Light of the Hidden Kingdom,Crime|Sci-Fi|Documentary
200036,Brave Star,Documentary|Drama|Comedy
200037,The Shattered Kingdom,Thriller|Adventure
200038,First Force,Film-Noir
200039,The Silver Titan,Sci-Fi
200040,Code of the Crimson Ocean,Animation
200041,Heart of the Brave Mountain,Romance
200042,Protocol of the Hidden Prophecy,Fantasy|Film-Noir
200043,Forgotten Mountain,Western|Adventure|Fantasy
200044,Titan of the Shattered Storm,Adventure|Horror|Crime
200045,Shattered Sky,Action
200046,Force of the Savage Heart,Action|Romance
200047,Illusion of the Azure Empire,Documentary
200048,Eternal Light,Children|Adventure
200049,Force of the Hidden Prophecy,Mystery|Adventure
200050,Falling Revenge,Action
200051,Ancient Shadow,Comedy|Mystery|Crime
200052,Shadow of the Brave Justice,Animation
200053,The Final Storm,Musical|War
200054,The Silent Soul,Musical|Drama|Crime
200055,Silent Code,Sci-Fi|Thriller|Musical
200056,Forgotten Shadow,Fantasy
200057,Golden Titan,Horror|Fantasy|Thriller
200058,Silent Mountain,Animation|Documentary
200059,The Hidden Sky,Comedy|Drama|Film-Noir
200060,Falling Forest,Documentary|Horror
200061,Kingdom of the Savage Code,Animation|Western
200062,The Secret Forest,Drama|Romance
200063,The Dark Warrior,Animation|Children
200064,Burning Algorithm,Children|Drama|Documentary
200065,Storm of the Savage Legacy,Musical|Film-Noir
200066,Ancient Illusion,Romance|Western
200067,Falling Kingdom,Horror|Musical|Thriller
200068,Iron Ocean,Fantasy|Western
200069,Revenge of the Silver Heart,Crime
200070,Legendary Star,Western|Mystery|Thriller
200071,The Savage Titan,Film-Noir|Action|Thriller
200072,The Rising Illusion,Drama|Animation|War
200073,Prophecy of the Frozen Titan,Fantasy
200074,The Golden Light,Musical
200075,Secret Legacy,Sci-Fi|Mystery|Children
200076,The Eternal Titan,Drama
200077,Mystic Dream,Western
200078,Forest of the Legendary Empire,Children
200079,Mountain of the Rising Force,Western|Adventure
200080,Force of the Brave Guardian,Action|Horror
200081,Ancient Destiny,Drama|Musical
200082,Code of the Brave Light,Children|Drama|Film-Noir
200083,Code of the Lost Ocean,Film-Noir|Thriller|Children
200084,Empire of the Silver Justice,Romance|Adventure|Action
200085,Warrior of the Brave Protocol,Thriller|Animation|Horror
200086,The Silent Thunder,Documentary|Crime
200087,Ocean of the Eternal Prophecy,Comedy
200088,Eternal Destiny,Film-Noir
200089,Frozen Revenge,Mystery|Sci-Fi
200090,Azure Destiny,Action
200091,The Eternal Soul,Mystery
200092,The Infinite Dimension,Musical|War|Crime
200093,The First Legacy,Horror|Adventure
200094,The First Mountain,Sci-Fi
200095,Heart of the First Forest,Musical
200096,The Dark Forest,Film-Noir
200097,First Revenge,Fantasy|War
200098,Destiny of the Golden Ocean,Action|Western
200099,The Brave Forest,Documentary|Action|Drama
200100,Dream of the Secret Light,Children|Documentary|Film-Noir
200101,The Rising Code,Comedy|Crime|Fantasy
200102,Titan of the Silver Sky,Mystery
200103,Dream of the Golden Light,Sci-Fi|Western|Thriller
200104,The Silver Warrior,War|Comedy|Thriller
200105,Burning Soul,Documentary|Crime|Musical
200106,The Broken Thunder,Musical|Romance|Documentary
200107,The Lost Illusion,Action|Animation
200108,The Burning Soul,Film-Noir|Mystery|Drama
200109,The Golden Prophecy,Romance
200110,Dimension of the Falling Justice,Film-Noir|Western
200111,The Crimson Forest,Film-Noir|Horror
200112,Justice of the Secret Star,Romance
200113,Kingdom of the Final Titan,Western|Fantasy
200114,The Eternal Thunder,Western|Crime
200115,Mystic Warrior,Drama
200116,The Broken Legacy,Comedy|Documentary
200117,Titan of the Awakened Empire,Sci-Fi|Crime
200118,Lost Protocol,Horror
200119,The Last Force,Horror
200120,Forgotten Memory,Documentary
200121,Soul of the Golden Titan,Comedy
200122,Algorithm of the Infinite Kingdom,Romance
